Status,Date,Time
Open,2022-03-22,09:35:07
Open,2022-03-22,11:15:06
Open,2022-03-22,11:35:06
Open,2022-03-22,12:30:08
Close,2022-03-22,13:25:06
Open,2022-03-22,13:45:07
Close,2022-03-22,14:50:08
Open,2022-03-22,16:00:05
Close,2022-03-23,08:00:08
Open,2022-03-23,08:05:07
Close,2022-03-24,09:00:07
Open,2022-03-24,09:05:07
Close,2022-03-24,10:10:05
Open,2022-03-25,10:05:05
Open,2022-03-25,10:45:09
Close,2022-03-25,11:15:06
Open,2022-03-25,14:05:05
Close,2022-03-25,14:55:08
Open,2022-03-28,08:00:10
Open,2022-03-30,07:55:11
Close,2022-03-30,08:00:05
Open,2022-03-30,08:05:06
Close,2022-03-30,10:05:07
Open,2022-03-31,07:35:07
Close,2022-03-31,08:00:08
Open,2022-03-31,08:05:09
Open,2022-03-31,08:50:09
Open,2022-03-31,08:55:05
Close,2022-03-31,09:25:05
Open,2022-03-31,09:40:08
Close,2022-03-31,10:10:08
Open,2022-04-01,07:00:09
Close,2022-04-01,11:05:09
Open,2022-04-01,11:30:05
Close,2022-04-01,12:20:05
Open,2022-04-04,08:00:07
Open,2022-04-04,08:15:12
Open,2022-04-04,09:50:08
Close,2022-04-04,09:55:06
Open,2022-04-04,11:55:08
Close,2022-04-04,12:55:05
Open,2022-04-04,13:25:04
Close,2022-04-04,14:00:11
Open,2022-04-05,07:55:05
Open,2022-04-05,08:00:09
Open,2022-04-05,08:20:06
Open,2022-04-05,09:05:08
Open,2022-04-05,09:45:16
Close,2022-04-05,10:00:07
Open,2022-04-05,10:50:09
Close,2022-04-05,12:55:09
Open,2022-04-06,09:00:05
Close,2022-04-06,10:00:09
Open,2022-04-07,09:35:07
Open,2022-04-07,10:10:06
Open,2022-04-07,14:05:04
Open,2022-04-07,14:45:05
Open,2022-04-08,07:35:08
Close,2022-04-08,08:15:08
Open,2022-04-08,09:20:07
Close,2022-04-08,09:25:08
Open,2022-04-08,10:10:05
Close,2022-04-08,10:50:08
Open,2022-04-11,08:00:06
Open,2022-04-11,08:10:05
Open,2022-04-11,09:05:10
Open,2022-04-11,09:20:06
Open,2022-04-11,11:00:06
Open,2022-04-11,11:30:08
Open,2022-04-11,12:30:04
Open,2022-04-11,14:00:06
Close,2022-04-11,16:15:08
Close,2022-04-12,13:35:06
Open,2022-04-12,14:45:05
Open,2022-04-13,14:25:06
Open,2022-04-19,08:00:08
Close,2022-04-19,08:45:06
Open,2022-04-19,09:35:06
Open,2022-04-19,10:25:04
Open,2022-04-19,11:20:07
Close,2022-04-19,11:35:09
Open,2022-04-19,11:55:05
Open,2022-04-19,12:00:06
Open,2022-04-19,12:05:07
Open,2022-04-19,12:25:07
Close,2022-04-19,12:30:06
Open,2022-04-19,13:50:04
Open,2022-04-19,14:05:04
Open,2022-04-19,14:15:07
Close,2022-04-19,14:45:04
Open,2022-04-20,07:00:06
Close,2022-04-20,07:45:05
Open,2022-04-20,08:30:08
Open,2022-04-20,10:00:05
Close,2022-04-20,11:05:04
Open,2022-04-20,11:10:04
Open,2022-04-20,11:40:06
Close,2022-04-20,12:15:45
Open,2022-04-20,17:10:04
Open,2022-04-21,06:40:05
Open,2022-04-21,07:05:06
Open,2022-04-21,12:50:05
Open,2022-04-21,14:00:08
Close,2022-04-21,14:10:07
Open,2022-04-22,09:35:09
Open,2022-04-22,11:35:06
Open,2022-04-22,12:05:04
Open,2022-04-22,12:20:05
Open,2022-04-22,12:25:05
Open,2022-04-22,12:30:05
